name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
Electric Cinema (Portobello),Kensington and Chelsea,,000217069435,E09000020,Colville,E05009392,,191 Portobello Road,Notting Hill Gate,524643.0001221001,181149.00012210011,-0.2034921483116324,51.51501440343126,11/27/2022
Odeon Covent Garden,Camden,,000005083631,E09000007,Holborn and Covent Garden,E05000138,,135 Shaftesbury Avenue,,529977.0001221001,181149.00012210011,-0.12665529544766688,51.51381217768469,11/27/2022
Covent Garden Hotel,Camden,,000005046977,E09000007,Holborn and Covent Garden,E05000138,,10 Monmouth Street,,530058.0001221001,181176.00012210011,-0.1254785593552802,51.51403620046508,11/27/2022
Regent Street Cinema,City of Westminster,,010033542315,E09000033,West End,E05000649,,309 Regent Street,,528922.0001221001,181397.00012210011,-0.14176153643378064,51.51628291618715,11/27/2022
Charlotte Street Hotel,City of Westminster,https://www.firmdalehotels.com/hotels/london/charlotte-street-hotel/film-club/,100023467443,E09000033,West End,E05000649,,15-17 Charlotte Street,,529494.0001221001,181589.00012210011,-0.13345105830542206,51.51787770300008,11/27/2022
Everyman Baker Street,City of Westminster,,010033604376,E09000033,Marylebone High Street,E05000641,,96-98 Baker St,,527996.0001221001,181792.00012210011,-0.15495763006720537,51.52004371048828,11/27/2022
Barbican Centre,City and County of the City of London,,200000072615,E09000001,Cripplegate,E05009302,,Silk Street,,532329.0001221001,181837.00012210011,-0.09251783735356144,51.51944947796296,11/27/2022
Genesis Cinema,Tower Hamlets,,000006033507,E09000030,Bethnal Green,E05009317,,93-95 Mile End Road,Stepney,535300.0001221001,182083.00012210011,-0.049623706867297786,51.52095639289526,11/27/2022
Vue Action,Ealing,,000012148223,E09000009,East Acton,E05000175,Royale Leisure Park,Western Ave,Park Royal,519328.0001221001,182155.00012210011,-0.27971974333580263,51.52520465509076,11/27/2022
Curzon Bloomsbury,Camden,,000005066588,E09000007,Bloomsbury,E05000129,,The Brunswick Centre,,530302.0001221001,182251.00012210011,-0.1215662711350257,51.523641682024376,11/27/2022
Close-Up Film Centre,Tower Hamlets,,000006002778,E09000030,Weavers,E05009335,,97 Sclater Street,,533849.0401000977,182289.8500976935,-0.07044816052984748,51.523161198863335,11/27/2022
Birkbeck Cinema,Camden,http://blogs.bbk.ac.uk/bimi/portfolio-item/current-programme/,010091886228,E09000007,Bloomsbury,E05000129,"Birkbeck, University of London",43 Gorden Square,"Birkbeck, University of London",529803.0001221001,182298.00012210011,-0.12873840002816656,51.52417903183627,11/27/2022
Electric Cinema (Shoreditch),Tower Hamlets,,000006002678,E09000030,Weavers,E05009335,,64-66 Redchurch Street,Shoreditch,533717.0001221001,182363.00012210011,-0.07232270501758443,51.52384990856467,11/27/2022
Rich Mix,Tower Hamlets,,000006150258,E09000030,Weavers,E05009335,,35-47 Bethnal Green Road,,533761.0001221001,182364.00012210011,-0.07168840340883953,51.52384847465537,11/27/2022
Everyman Maida Vale,City of Westminster,,100023509417,E09000033,Little Venice,E05000639,,215 Sutherland Ave,,526228.0001221001,182575.00012210011,-0.18014855141591896,51.52747921129906,11/27/2022
"Vue Islington 




",Islington,,010001296728,E09000019,St. Mary's,E05000379,Angel Central,Central Shopping Mall,36 Parkfield Street,531463.0001221001,183403.00012210011,-0.10440903349066345,51.5337262212976,11/27/2022
The Lexi Cinema,Brent,,000202195465,E09000005,Brondesbury Park,E05000087,,194b Chamberlyne Road,Kensal Rise,523367.0001221001,183573.00012210011,-0.22102474614400092,51.53708177117688,11/27/2022
Vue Dagenham,Barking and Dagenham,,010091589789,E09000002,Goresbrook,E05000033,Dagenham Leisure Park,Cook Road,,548238.0001221001,183627.00012210011,0.13739647696052867,51.53158335992203,11/27/2022
Everyman Screen on the Green,Islington,,005300094504,E09000019,St. Mary's,E05000379,,83 Upper Street,Islington,531613.0001221001,183702.00012210011,-0.1021356371021251,51.53637853365987,11/27/2022
Everyman Kings Cross,Camden,,000005172384,E09000007,St. Pancras and Somers Town,E05000143,,14-18 Handyside Street,King's Cross,529972.0001221001,183722.00012210011,-0.1257778247042229,51.536938564484416,11/27/2022
Odeon Camden Town,Camden,,000005025285,E09000007,Camden Town with Primrose Hill,E05000130,,14 The Parkway,,528805.0001221001,183883.00012210011,-0.14253771795426254,51.53865312530877,11/27/2022
Odeon Uxbridge,Hillingdon,,010003003209,E09000017,Uxbridge North,E05000340,,302 The Chimes Shopping Centre,,505808.0001221001,184018.00012210011,-0.47399035968207176,51.54464728849307,11/27/2022
Odeon Swiss Cottage,Camden,,000005039447,E09000007,Swiss Cottage,E05000144,,96 Finchley Road,,526690.0001221001,184196.00012210011,-0.17290805425098468,51.54194508111399,11/27/2022
