name,address1,address2,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address3,longitude,latitude,easting,northing,runtime
Broadway Theatre,1 Clockhouse Avenue,,Barking and Dagenham,http://www.thebroadwaybarking.com/sales,100058301,E09000002,Abbey,E05000026,,0.0780442418089448,51.53566930137261,543996.2882867429,184016.32482820883,11/27/2022
Cadogan Hall,5 Sloane Terrace,,Kensington and Chelsea,http://www.cadoganhall.com,217078765,E09000020,Royal Hospital,E05009403,,-0.15726787385942506,51.49386601372175,527798.0452933692,178931.39483932458,11/27/2022
Cambridge Theatre,31 Earlham St,,Camden,https://www.cambridgeartstheatre.com,5089373,E09000007,Holborn and Covent Garden,E05000138,,-0.12638182362667552,51.51351138572916,529885.6239657132,181169.99696127552,11/27/2022
Canal Cafe Theatre,13 Westbourne Terrace Rd,,City of Westminster,https://canalcafetheatre.com/contact,100022819209,E09000033,Westbourne,E05000648,,-0.18423636518372952,51.52103081817106,525851.5233817205,181904.8118052577,11/27/2022
Charing Cross Theatre,9 Villiers Street,,City of Westminster,http://www.charingcrosstheatre.co.uk,10033582545,E09000033,St. James's,E05000644,,-0.12409696345269702,51.508088217010574,530059.5750135697,180571.11041346058,11/27/2022
Palace Theatre,29 Greek St,,City of Westminster,,10033553103,E09000033,West End,E05000649,,-0.12962760222082897,51.51308656916242,529661.6725225626,181117.0037497292,11/27/2022
Eventim Apollo Hammersmith,45 Queen Caroline Street,,Hammersmith and Fulham,,34030384,E09000013,Hammersmith Broadway,E05000256,,-0.22442261589391588,51.490693338648484,523146.055735984,178463.4256042394,11/27/2022
Hampstead Theatre,62 Eton Avenue,,Camden,www.hampsteadtheatre.com,5134828,E09000007,Swiss Cottage,E05000144,,-0.1737092618893542,51.543825617142524,526518.4226660088,184457.34013969544,11/27/2022
ICA,Nash House,,City of Westminster,www.ica.art/venue-hire/,100023349637,E09000033,St. James's,E05000644,The Mall,-0.13089630811381464,51.50638922513244,529592.6737321757,180370.14269561012,11/27/2022
Islington Assembly Hall,?222 Upper Street,,Islington,,5300094897,E09000019,St. Mary's,E05000379,,-0.10361212675213433,51.54433219345228,531376.3407794111,184637.3515467053,11/27/2022
London Palladium,8 Argyll Street,,City of Westminster,http://www.reallyusefultheatres.co.uk/our-theatres/london-palladium/,10033529083,E09000033,West End,E05000649,,-0.1400173237240133,51.51453773280267,528936.8349926606,181259.96844256582,11/27/2022
Lost Theatre,208 Wandsworth Road,,Lambeth,http://www.losttheatre.co.uk,10023851231,E09000022,Stockwell,E05000429,,-0.13182128200627993,51.475523927124875,529616.0978661659,176936.92205954768,11/27/2022
Lyceum Theatre,21 Wellington Street,,City of Westminster,http://www.lyceum-theatre.co.uk,10033572107,E09000033,St. James's,E05000644,,-0.12011195511506426,51.51142367533286,530326.52281936,180949.043737809,11/27/2022
Millfield Arts Centre,303 Silver St,,Enfield,https://www.millfieldtheatre.co.uk,207015826,E09000010,Haselbury,E05000201,,-0.08021922443457952,51.61595446609569,532788.7220548978,192642.48454072129,11/27/2022
New Diorama Theatre,15-16 Triton Street,,Camden,,5155688,E09000007,Regent's Park,E05000142,,-0.1417518727550851,51.52503273106567,528786.8870747373,182423.74963554606,11/27/2022
Noel Coward Theatre,85-88 St Martin's Lane,,City of Westminster,,100023432653,E09000033,St. James's,E05000644,,-0.12746040471223158,51.51110956314006,529817.6341410202,180901.0460639245,11/27/2022
Park Theatre,13 Clifton Terrace,,Islington,https://www.parktheatre.co.uk,10090266645,E09000019,Finsbury Park,E05000371,,-0.10864188873866733,51.56563594094724,530966.3834227113,186996.86514007242,11/27/2022
Peacock Theatre,4 Portugal Street,,City of Westminster,http://peacocktheatre.com,100023430213,E09000033,St. James's,E05000644,,-0.11799105536213672,51.51462705698138,530464.4981347829,181308.97942267568,11/27/2022
Phoenix Theatre,110 Charing Cross Rd,,Camden,http://www.atgtickets.com/venues/phoenix-theatre/,5037592,E09000007,Holborn and Covent Garden,E05000138,,-0.12955427132150904,51.514524236099916,529662.6752697304,181276.97391381703,11/27/2022
Piccadilly Theatre,16 Denman Theatre,,City of Westminster,http://www.piccadillytheatre.org,100023472891,E09000033,West End,E05000649,,-0.1353745720757855,51.51105578198978,529268.7547672022,180881.0430587869,11/27/2022
Playhouse Theatre,10 Northumberland Avenue,,City of Westminster,http://www.playhousetheatrelondon.com/tickets/,100023432701,E09000033,St. James's,E05000644,,-0.1236819298437647,51.50696647949397,530091.5657340145,180447.1340540895,11/27/2022
